data,username,agenzia,amount,description
2023-12-07 19:19:59,AntonioG,ninnobet,100.0,ricarica effettuata dall'agenzia
2023-12-07 21:28:30,AntonioG,ninnobet,-5.0,iscrizione torneo
2023-12-07 21:28:33,AntonioG,ninnobet,-2.5,iscrizione torneo
2023-12-07 21:28:36,AntonioG,ninnobet,-1.0,iscrizione torneo
2023-12-07 21:29:41,AntonioG,ninnobet,-1.0,iscrizione torneo
2023-12-07 21:29:42,AntonioG,ninnobet,-2.5,iscrizione torneo
2023-12-07 21:29:44,AntonioG,ninnobet,-5.0,iscrizione torneo
2023-12-07 21:31:16,AntonioG,ninnobet,-1.0,iscrizione torneo
2023-12-07 21:31:17,AntonioG,ninnobet,-2.5,iscrizione torneo
2023-12-07 21:31:19,AntonioG,ninnobet,-5.0,iscrizione torneo
2023-12-08 11:18:15,AntonioG,ninnobet,1.08,Vincita torneo
2023-12-08 11:18:16,AntonioG,ninnobet,2.7,Vincita torneo
2023-12-08 11:36:49,AntonioG,ninnobet,6.0,Vincita torneo
2023-12-07 19:20:04,AntonioP,ninnobet,100.0,ricarica effettuata dall'agenzia
2023-12-07 19:28:14,AntonioP,ninnobet,-1.0,iscrizione torneo
2023-12-07 19:28:17,AntonioP,ninnobet,-2.5,iscrizione torneo
2023-12-07 19:28:20,AntonioP,ninnobet,-5.0,iscrizione torneo
2023-12-07 19:29:08,AntonioP,ninnobet,-1.0,iscrizione torneo
2023-12-07 19:29:11,AntonioP,ninnobet,-2.5,iscrizione torneo
2023-12-07 19:29:13,AntonioP,ninnobet,-5.0,iscrizione torneo
2023-12-08 12:21:30,AntonioP,ninnobet,-5.0,iscrizione torneo
2023-12-08 12:21:35,AntonioP,ninnobet,-1.0,iscrizione torneo
2023-12-08 12:21:37,AntonioP,ninnobet,-2.5,iscrizione torneo
2023-12-07 19:20:10,Raffaele,ninnobet,100.0,ricarica effettuata dall'agenzia
2023-12-08 11:03:28,Raffaele,ninnobet,-5.0,iscrizione torneo
2023-12-08 11:03:32,Raffaele,ninnobet,-2.5,iscrizione torneo
2023-12-08 11:03:35,Raffaele,ninnobet,-1.0,iscrizione torneo
2023-12-07 19:20:14,Mario,ninnobet,100.0,ricarica effettuata dall'agenzia
2023-12-07 21:20:11,Mario,ninnobet,-5.0,iscrizione torneo
2023-12-07 19:20:20,PortaLaGonna,ninnobet,100.0,ricarica effettuata dall'agenzia
2023-12-07 21:33:54,Lucia,ninnobet,10.0,ricarica effettuata dall'agenzia
2023-12-07 21:36:19,Lucia,ninnobet,-5.0,iscrizione torneo
2023-12-07 21:36:21,Lucia,ninnobet,-2.5,iscrizione torneo
2023-12-07 21:36:22,Lucia,ninnobet,-1.0,iscrizione torneo
2023-12-07 21:37:56,Lucia,ninnobet,-1.0,iscrizione torneo
2023-12-07 21:38:31,Lucia,ninnobet,100.0,ricarica effettuata dall'agenzia
2023-12-07 21:39:43,Lucia,ninnobet,-2.5,iscrizione torneo
2023-12-07 21:39:45,Lucia,ninnobet,-5.0,iscrizione torneo
2023-12-08 11:18:15,Lucia,ninnobet,1.8,Vincita torneo
2023-12-08 11:18:16,Lucia,ninnobet,4.5,Vincita torneo
2023-12-08 11:36:49,Lucia,ninnobet,10.0,Vincita torneo
2023-12-07 21:38:37,Mariateresa,ninnobet,1000.0,ricarica effettuata dall'agenzia
2023-12-07 21:41:50,Mariateresa,ninnobet,-1.0,iscrizione torneo
2023-12-07 21:41:53,Mariateresa,ninnobet,-2.5,iscrizione torneo
2023-12-07 21:41:54,Mariateresa,ninnobet,-5.0,iscrizione torneo
2023-12-08 11:18:15,Mariateresa,ninnobet,3.6,Vincita torneo
2023-12-08 11:18:16,Mariateresa,ninnobet,9.0,Vincita torneo
2023-12-08 11:36:49,Mariateresa,ninnobet,20.0,Vincita torneo
